"プロット タイトル: 21751639"
"#","日付 時間, GMT+03:00","Event, units (LGR S/N: 21751639, SEN S/N: 21751639)","カプラー取り外し (LGR S/N: 21751639)","カプラー取り付け (LGR S/N: 21751639)","ホスト接続 (LGR S/N: 21751639)","ファイルの終わり (LGR S/N: 21751639)"
1,24/04/08 18:00:08,0.0,,,,
2,24/04/08 18:00:23,,記録,,,
3,24/04/09 16:04:25,0.2,,,,
4,24/04/11 17:00:02,0.4,,,,
5,24/04/11 17:00:04,0.6,,,,
6,24/04/11 17:00:10,0.8,,,,
7,24/04/11 17:00:14,1.0,,,,
8,24/04/11 17:00:15,1.2,,,,
9,24/04/11 17:00:56,1.4,,,,
10,24/04/11 17:00:58,1.6,,,,
11,24/04/11 17:01:02,1.8,,,,
12,24/04/11 17:01:06,2.0,,,,
13,24/04/11 17:01:22,2.2,,,,
14,24/04/11 17:01:24,2.4,,,,
15,24/04/11 17:01:29,2.6,,,,
16,24/04/11 17:01:38,2.8,,,,
17,24/04/11 17:01:40,3.0,,,,
18,24/04/11 17:01:42,3.2,,,,
19,24/04/11 19:25:19,3.4,,,,
20,24/04/11 23:26:36,3.6,,,,
21,24/04/11 23:35:26,3.8,,,,
22,24/04/11 23:50:42,4.0,,,,
23,24/04/12 03:11:30,4.2,,,,
24,24/04/12 03:25:32,4.4,,,,
25,24/04/12 05:36:40,4.6,,,,
26,24/04/12 05:59:22,4.8,,,,
27,24/04/12 09:08:45,5.0,,,,
28,24/04/12 09:55:42,5.2,,,,
29,24/04/13 03:31:36,5.4,,,,
30,24/04/13 05:31:42,5.6,,,,
31,24/04/13 05:51:41,5.8,,,,
32,24/04/13 07:26:36,6.0,,,,
33,24/04/13 19:46:32,6.2,,,,
34,24/04/13 19:47:58,6.4,,,,
35,24/04/13 19:52:35,6.6,,,,
36,24/04/13 21:38:30,6.8,,,,
37,24/04/13 22:29:56,7.0,,,,
38,24/04/13 22:33:34,7.2,,,,
39,24/04/13 22:51:59,7.4,,,,
40,24/04/14 00:19:59,7.6,,,,
41,24/04/14 12:38:57,7.8,,,,
42,24/04/14 12:43:10,8.0,,,,
43,24/04/14 13:35:03,8.2,,,,
44,24/04/14 13:39:23,8.4,,,,
45,24/04/14 13:43:55,8.6,,,,
46,24/04/14 13:45:30,8.8,,,,
47,24/04/14 13:46:17,9.0,,,,
48,24/04/14 13:46:42,9.2,,,,
49,24/04/14 13:48:23,9.4,,,,
50,24/04/14 13:50:19,9.6,,,,
51,24/04/14 13:52:10,9.8,,,,
52,24/04/14 13:52:58,10.0,,,,
53,24/04/14 13:53:47,10.2,,,,
54,24/04/14 13:54:04,10.4,,,,
55,24/04/14 13:54:29,10.6,,,,
56,24/04/14 13:54:45,10.8,,,,
57,24/04/14 13:55:12,11.0,,,,
58,24/04/14 13:55:30,11.2,,,,
59,24/04/14 13:56:00,11.4,,,,
60,24/04/14 13:56:21,11.6,,,,
61,24/04/14 13:56:55,11.8,,,,
62,24/04/14 13:57:28,12.0,,,,
63,24/04/14 13:58:21,12.2,,,,
64,24/04/14 13:58:57,12.4,,,,
65,24/04/14 14:00:35,12.6,,,,
66,24/04/14 14:01:40,12.8,,,,
67,24/04/14 14:06:25,13.0,,,,
68,24/04/14 14:08:25,13.2,,,,
69,24/04/14 14:12:13,13.4,,,,
70,24/04/14 14:14:46,13.6,,,,
71,24/04/14 14:18:52,13.8,,,,
72,24/04/14 14:20:18,14.0,,,,
73,24/04/14 14:27:04,14.2,,,,
74,24/04/14 14:31:55,14.4,,,,
75,24/04/14 14:56:49,14.6,,,,
76,24/04/14 15:02:44,14.8,,,,
77,24/04/14 16:51:08,15.0,,,,
78,24/04/14 16:52:54,15.2,,,,
79,24/04/14 16:55:03,15.4,,,,
80,24/04/14 16:56:03,15.6,,,,
81,24/04/14 16:57:19,15.8,,,,
82,24/04/14 16:57:38,16.0,,,,
83,24/04/14 16:58:12,16.2,,,,
84,24/04/14 16:58:30,16.4,,,,
85,24/04/14 16:59:05,16.6,,,,
86,24/04/14 16:59:19,16.8,,,,
87,24/04/14 16:59:47,17.0,,,,
88,24/04/14 17:00:00,17.2,,,,
89,24/04/14 17:00:41,17.4,,,,
90,24/04/14 17:01:03,17.6,,,,
91,24/04/14 17:09:06,17.8,,,,
92,24/04/15 03:36:26,18.0,,,,
93,24/04/15 12:06:30,18.2,,,,
94,24/04/15 12:08:47,18.4,,,,
95,24/04/15 12:10:25,18.6,,,,
96,24/04/15 12:11:07,18.8,,,,
97,24/04/15 12:12:06,19.0,,,,
98,24/04/15 12:12:37,19.2,,,,
99,24/04/15 12:13:13,19.4,,,,
100,24/04/15 12:13:38,19.6,,,,
101,24/04/15 12:57:34,19.8,,,,
102,24/04/15 13:24:21,20.0,,,,
103,24/04/15 13:38:27,20.2,,,,
